NAME,DP05_0071PE,DP05_0077PE,DP05_0078PE,DP05_0079PE,DP05_0080PE,DP05_0081PE,DP05_0082PE,DP05_0083PE,DP05_0002PE,DP05_0003PE,DP05_0005PE,DP05_0006PE,DP05_0007PE,DP05_0008PE,DP05_0009PE,DP05_0010PE,DP05_0011PE,DP05_0012PE,DP05_0013PE,DP05_0014PE,DP05_0015PE,DP05_0016PE,DP05_0017PE
ZCTA5 00659,99.6,0.2,0.1,0.0,0.0,0.0,0.1,0.0,48.0,52.0,3.8,4.8,6.4,6.4,6.5,12.6,13.1,14.0,6.2,6.7,11.4,6.4,1.8
ZCTA5 00660,99.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,46.0,54.0,3.3,4.7,5.2,6.3,6.0,10.0,12.0,13.0,6.3,6.1,13.7,9.2,4.1
ZCTA5 00662,98.7,0.9,0.2,0.0,0.0,0.0,0.2,0.0,48.5,51.5,4.1,5.5,6.0,6.5,6.7,12.2,13.1,13.6,6.4,6.4,11.3,6.2,2.2
ZCTA5 00664,99.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,49.4,50.6,5.1,6.1,7.1,6.5,7.8,13.2,12.7,12.6,6.5,6.5,9.7,3.9,2.4
ZCTA5 00667,98.7,0.6,0.0,0.0,0.0,0.0,0.7,0.0,48.9,51.1,3.8,5.5,4.8,6.5,8.0,9.5,11.3,13.0,6.8,6.8,13.3,8.4,2.2
ZCTA5 00669,99.2,0.5,0.0,0.0,0.0,0.0,0.3,0.0,49.1,50.9,4.6,4.6,6.2,6.6,6.4,12.6,12.5,13.4,7.2,6.4,11.3,6.3,2.0
ZCTA5 00670,99.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,2.8,6.1,8.1,7.1,6.9,11.5,11.5,12.4,6.7,7.0,11.4,6.7,1.6
ZCTA5 00674,97.9,1.3,0.3,0.0,0.0,0.0,0.3,0.1,47.2,52.8,4.5,5.2,6.2,6.8,6.8,11.9,12.0,12.5,6.1,7.5,11.6,6.7,2.3
ZCTA5 00676,99.3,0.3,0.1,0.0,0.1,0.0,0.1,0.1,48.7,51.3,4.6,5.1,6.8,7.2,7.0,12.8,13.0,13.4,5.9,7.3,10.2,5.0,1.7
ZCTA5 00677,88.3,10.0,0.1,0.0,0.0,0.0,0.0,1.6,48.3,51.7,3.8,5.1,5.1,5.9,5.5,9.9,12.8,14.2,6.7,7.1,13.4,7.7,2.8
ZCTA5 00678,98.3,0.8,0.4,0.0,0.0,0.0,0.2,0.3,48.0,52.0,4.2,4.2,6.9,6.8,6.3,12.9,12.8,14.2,6.7,6.1,10.8,6.2,1.9
ZCTA5 00680,99.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,48.0,52.0,3.7,5.0,4.6,7.5,9.9,11.9,8.8,10.6,5.9,7.4,13.2,8.3,3.2
ZCTA5 00682,98.9,0.7,0.0,0.0,0.1,0.0,0.3,0.0,47.2,52.8,4.3,5.6,5.4,8.8,12.6,10.7,10.9,10.4,5.4,5.3,10.1,8.1,2.5
ZCTA5 00683,99.5,0.5,0.0,0.0,0.0,0.0,0.1,0.0,48.4,51.6,4.3,5.5,5.0,6.9,7.5,10.8,10.7,12.6,6.9,6.0,12.9,8.8,2.2
ZCTA5 00685,96.7,2.6,0.0,0.0,0.0,0.0,0.2,0.4,48.8,51.2,4.0,5.2,6.0,6.3,6.2,10.5,12.2,12.4,7.3,7.1,13.1,6.8,2.7
ZCTA5 00687,99.6,0.3,0.1,0.1,0.0,0.0,0.0,0.0,49.6,50.4,4.6,4.5,7.9,7.2,7.4,13.8,12.5,13.5,7.3,6.0,9.1,4.5,1.7
ZCTA5 00688,99.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,52.1,47.9,3.2,5.0,5.6,6.9,7.8,12.7,12.2,14.1,6.6,7.8,10.1,6.4,1.6
ZCTA5 00690,99.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,43.0,57.0,2.7,4.0,6.9,8.9,8.2,11.8,10.1,13.6,7.4,7.3,9.6,7.1,2.2
ZCTA5 00692,98.3,0.9,0.4,0.0,0.0,0.0,0.3,0.0,47.9,52.1,4.4,5.7,7.2,7.0,6.8,12.9,13.4,12.9,6.5,6.1,9.6,5.4,2.2
ZCTA5 00693,96.8,2.9,0.0,0.0,0.0,0.0,0.3,0.0,47.9,52.1,4.6,5.0,6.3,6.6,6.9,12.7,12.1,13.1,6.7,6.3,10.9,6.2,2.6
ZCTA5 00694,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7,20.3,0.0
ZCTA5 00698,99.4,0.3,0.0,0.0,0.0,0.0,0.2,0.0,47.9,52.1,4.2,5.4,5.8,6.2,6.2,11.3,12.1,13.3,8.3,6.0,12.1,6.6,2.5
ZCTA5 00703,99.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,48.3,51.7,3.8,4.6,7.1,6.9,6.3,13.1,13.4,12.8,7.5,5.5,10.9,5.5,2.4
ZCTA5 00704,99.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,50.0,50.0,7.1,7.1,6.0,6.9,8.6,16.3,11.7,13.6,5.2,3.9,7.0,4.6,2.1
ZCTA5 00705,99.6,0.2,0.0,0.0,0.1,0.0,0.1,0.0,47.8,52.2,4.6,5.5,5.7,6.2,6.6,12.3,11.0,13.4,7.1,7.8,11.4,6.1,2.3
ZCTA5 00707,98.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,48.5,51.5,4.2,4.8,6.7,6.6,5.7,11.3,12.8,12.2,7.6,6.6,12.5,7.4,1.8
ZCTA5 00714,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,46.7,53.3,4.5,4.9,8.1,7.0,6.5,12.2,13.2,12.5,5.5,6.7,11.4,6.0,1.4
ZCTA5 00715,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,51.0,4.0,4.8,4.9,4.4,9.9,14.5,8.1,13.3,5.7,7.5,12.7,8.1,2.2
ZCTA5 00716,98.8,0.9,0.2,0.0,0.0,0.0,0.0,0.1,45.4,54.6,4.7,4.6,5.7,6.2,6.6,11.1,11.7,10.2,6.5,8.1,13.8,7.9,2.9
ZCTA5 00717,99.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,43.0,57.0,4.8,6.2,5.7,8.4,7.0,12.6,9.0,11.6,5.1,6.0,11.9,7.7,4.0
ZCTA5 00718,99.2,0.6,0.0,0.0,0.0,0.0,0.1,0.0,47.0,53.0,4.4,7.6,6.4,7.1,6.9,13.2,13.9,12.3,5.5,5.1,9.9,5.8,1.7
ZCTA5 00719,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,51.0,4.8,5.1,6.3,6.7,6.8,13.1,11.8,13.0,7.0,6.8,10.5,5.9,2.2
ZCTA5 00720,99.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,49.9,50.1,5.2,5.2,6.9,7.1,7.6,12.7,11.6,13.9,8.0,5.7,9.3,4.7,2.0
ZCTA5 00723,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,48.8,51.2,4.0,4.9,6.1,6.0,6.6,11.6,10.7,13.9,8.2,6.8,12.1,7.1,1.9
ZCTA5 00725,98.3,1.3,0.1,0.0,0.0,0.0,0.3,0.1,45.8,54.2,4.3,5.6,5.7,6.7,6.6,12.2,12.5,12.9,6.8,5.9,11.3,7.1,2.5
ZCTA5 00727,99.2,0.6,0.1,0.0,0.0,0.0,0.1,0.1,47.7,52.3,4.0,4.6,6.5,6.4,7.4,13.3,13.1,14.6,6.9,5.8,9.2,6.3,1.8
ZCTA5 00728,99.6,0.2,0.1,0.0,0.0,0.0,0.1,0.0,50.6,49.4,5.3,5.5,5.0,6.3,8.2,14.1,11.9,12.4,6.4,6.0,11.2,5.9,1.7
ZCTA5 00729,99.7,0.1,0.1,0.0,0.1,0.0,0.0,0.0,47.8,52.2,4.4,5.8,6.3,6.7,7.1,12.8,13.6,14.0,6.1,6.7,9.8,5.1,1.6
ZCTA5 00730,99.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,48.8,51.2,4.5,5.8,6.8,6.4,7.7,12.1,11.5,12.0,5.7,6.2,11.1,7.6,2.6
ZCTA5 00731,99.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,4.7,4.3,6.5,6.8,6.6,14.9,11.2,11.8,8.8,7.5,10.0,5.3,1.7
ZCTA5 00735,98.5,1.1,0.1,0.0,0.0,0.0,0.0,0.3,46.8,53.2,4.3,4.1,6.1,5.7,7.7,12.6,12.0,12.7,5.9,6.4,12.7,7.2,2.5
ZCTA5 00736,99.3,0.3,0.0,0.0,0.3,0.0,0.0,0.1,48.2,51.8,3.8,5.6,5.0,6.5,6.7,12.0,12.6,13.5,7.0,7.2,11.9,5.7,2.7
ZCTA5 00738,99.0,0.4,0.2,0.0,0.2,0.0,0.0,0.2,46.7,53.3,4.5,5.2,6.0,6.6,7.3,11.9,11.7,13.7,6.1,5.2,11.5,8.2,2.3
ZCTA5 00739,99.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0,48.0,52.0,4.8,5.9,6.1,7.1,7.0,13.0,12.6,13.9,7.1,6.2,9.7,4.9,1.6
ZCTA5 00740,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.4,54.6,7.8,7.9,7.9,6.7,7.3,16.0,12.9,10.7,4.5,5.2,6.3,5.8,1.0
ZCTA5 00741,99.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,45.4,54.6,5.6,1.9,3.6,8.2,4.5,16.7,11.6,16.1,7.1,6.9,9.0,5.6,3.0
ZCTA5 00745,99.1,0.7,0.1,0.0,0.0,0.0,0.1,0.0,48.1,51.9,4.0,5.5,6.0,6.7,7.1,12.7,12.5,14.1,7.3,4.8,11.3,6.1,1.7
ZCTA5 00751,99.8,0.1,0.0,0.0,0.1,0.0,0.0,0.0,47.6,52.4,3.8,5.5,6.9,7.8,6.3,10.1,12.9,12.4,6.7,6.9,12.4,6.3,2.0
ZCTA5 00754,99.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,48.6,51.4,4.1,6.1,5.0,6.6,6.8,12.7,12.7,13.8,6.4,7.6,10.2,5.6,2.3
ZCTA5 00757,99.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,48.2,51.8,4.6,5.1,8.0,7.6,7.4,12.3,15.0,13.5,4.7,6.1,9.4,4.7,1.7
ZCTA5 00765,94.9,5.1,0.0,0.0,0.0,0.0,0.0,0.0,49.3,50.7,4.6,6.8,5.8,3.8,6.7,10.5,8.8,16.0,8.5,6.9,11.9,5.8,3.8
ZCTA5 00766,99.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,48.6,51.4,5.1,6.2,5.7,7.7,7.5,12.4,11.3,13.1,8.1,6.1,10.7,5.5,0.9
ZCTA5 00767,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4,51.6,4.0,5.9,5.6,6.6,6.8,11.5,12.0,13.5,7.5,7.0,11.7,5.7,2.3
ZCTA5 00769,99.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,48.5,51.5,4.2,5.3,7.1,6.2,5.8,12.3,13.9,14.0,7.1,7.0,10.7,5.0,1.4
ZCTA5 00771,99.7,0.1,0.1,0.0,0.0,0.0,0.1,0.0,48.0,52.0,4.3,5.1,7.2,6.5,6.4,13.1,14.4,13.1,5.8,6.6,10.4,5.2,1.9
ZCTA5 00772,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9,53.1,4.9,6.8,5.6,7.0,7.1,13.2,12.3,12.8,7.5,5.4,9.7,5.6,2.1
ZCTA5 00773,98.7,0.9,0.0,0.0,0.0,0.0,0.2,0.1,46.9,53.1,4.1,5.6,5.8,7.0,7.1,11.7,12.4,12.8,5.4,7.1,11.7,6.9,2.2
ZCTA5 00775,91.3,7.5,0.0,0.4,0.8,0.0,0.0,0.0,50.8,49.2,3.8,7.0,5.6,4.2,5.7,15.2,11.9,11.8,5.1,6.8,9.8,9.1,4.1
ZCTA5 00777,99.3,0.6,0.0,0.0,0.0,0.0,0.1,0.0,47.5,52.5,4.6,5.9,6.5,7.2,7.5,13.2,14.8,13.2,6.0,5.6,9.0,4.5,1.9
ZCTA5 00778,96.8,2.0,0.5,0.0,0.1,0.0,0.6,0.0,47.3,52.7,4.0,5.3,7.1,6.9,6.8,12.9,15.2,14.5,5.4,6.4,8.9,4.8,1.6
ZCTA5 00780,98.7,1.0,0.0,0.0,0.0,0.0,0.0,0.3,46.9,53.1,3.3,6.7,8.1,8.1,5.5,11.4,13.0,12.8,5.9,6.6,9.8,5.9,2.7
ZCTA5 00782,99.5,0.4,0.0,0.0,0.0,0.0,0.1,0.0,49.9,50.1,4.5,4.4,7.9,6.6,7.5,13.1,11.4,13.5,7.6,5.9,10.0,5.4,2.2
ZCTA5 00783,99.1,0.8,0.0,0.0,0.0,0.0,0.1,0.0,48.6,51.4,4.8,5.9,6.4,6.6,7.2,13.2,12.2,13.1,6.1,7.2,9.9,5.4,2.0
ZCTA5 00784,99.0,0.8,0.2,0.0,0.0,0.0,0.1,0.0,49.2,50.8,4.3,6.0,6.0,7.2,7.5,13.9,12.5,12.5,6.7,5.7,10.1,5.4,2.0
ZCTA5 00786,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,20.8,19.4,10.0,14.4,5.6,14.4,0.0,15.3
ZCTA5 00791,98.9,0.7,0.0,0.0,0.2,0.0,0.1,0.0,47.3,52.7,4.3,5.2,6.1,6.5,6.6,11.0,12.6,12.9,7.2,6.2,12.6,6.6,2.3
ZCTA5 00794,99.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,49.2,50.8,5.5,6.4,6.4,7.3,7.9,13.8,11.6,13.0,6.8,6.1,8.8,4.7,1.5
ZCTA5 00795,99.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,47.4,52.6,5.2,6.2,6.5,6.7,7.1,12.2,12.8,13.2,6.2,6.6,10.2,5.2,2.0
ZCTA5 00901,94.5,4.4,0.9,0.0,0.0,0.0,0.0,0.1,55.0,45.0,3.3,5.3,2.4,2.2,7.3,15.9,13.6,13.3,6.9,7.7,10.1,6.9,5.1
ZCTA5 00906,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,43.5,7.3,0.0,0.0,0.0,0.0,38.7,44.0,3.7,0.0,3.1,3.1,0.0,0.0
ZCTA5 00907,94.4,4.7,0.5,0.0,0.0,0.0,0.1,0.3,48.7,51.3,2.5,3.6,3.7,4.6,3.4,14.5,10.8,18.2,7.0,6.3,14.7,7.1,3.7
ZCTA5 00909,97.6,2.1,0.1,0.0,0.2,0.0,0.0,0.0,49.3,50.7,5.6,4.6,5.5,3.7,7.2,14.7,11.7,12.0,7.3,7.4,10.2,7.2,2.9
ZCTA5 00911,88.2,9.8,0.1,0.0,1.8,0.0,0.0,0.0,48.6,51.4,3.6,4.3,3.0,4.9,6.9,9.9,13.4,14.4,8.0,8.9,11.5,6.7,4.5
ZCTA5 00912,98.2,0.1,0.5,0.0,0.8,0.0,0.4,0.0,42.9,57.1,1.4,2.7,4.1,7.0,9.2,12.2,12.5,13.3,7.6,5.8,10.3,10.9,3.1
ZCTA5 00913,97.6,2.4,0.0,0.0,0.0,0.0,0.0,0.0,42.2,57.8,12.8,12.0,6.6,8.7,7.6,16.5,7.5,10.0,4.5,3.7,5.8,2.6,1.7
ZCTA5 00915,98.8,0.2,0.3,0.0,0.1,0.0,0.6,0.0,47.2,52.8,4.4,5.6,6.0,6.7,7.8,12.1,12.0,13.4,6.8,6.7,10.9,5.2,2.2
ZCTA5 00917,98.8,0.9,0.1,0.0,0.3,0.0,0.0,0.0,46.8,53.2,3.4,4.3,3.9,5.8,6.3,12.4,10.2,13.3,8.8,6.4,12.7,8.8,3.6
ZCTA5 00918,99.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,44.1,55.9,5.3,4.6,3.9,5.7,6.8,15.9,8.8,12.2,5.3,6.7,11.3,9.1,4.5
ZCTA5 00920,99.3,0.4,0.3,0.0,0.0,0.0,0.0,0.0,46.2,53.8,4.3,4.3,3.9,4.7,5.8,14.6,9.8,12.7,7.4,7.7,11.5,8.9,4.5
ZCTA5 00921,99.3,0.5,0.1,0.0,0.0,0.0,0.1,0.0,44.1,55.9,4.5,6.1,5.8,5.3,7.5,13.9,13.2,10.7,6.6,7.0,8.8,6.5,4.0
ZCTA5 00923,99.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,47.5,52.5,3.4,4.9,6.3,8.3,6.6,12.0,11.3,13.3,6.9,7.3,10.9,6.4,2.5
ZCTA5 00924,98.5,1.2,0.2,0.0,0.0,0.0,0.2,0.0,43.8,56.2,5.4,5.5,7.1,7.7,6.7,11.8,12.3,11.5,5.6,5.5,10.5,6.7,3.8
ZCTA5 00925,95.7,2.2,0.6,0.0,1.1,0.0,0.4,0.0,49.2,50.8,1.6,1.4,2.3,10.0,19.8,13.2,12.2,11.9,4.0,6.4,8.4,5.9,2.8
ZCTA5 00926,98.3,1.2,0.1,0.0,0.4,0.0,0.0,0.0,45.5,54.5,4.2,4.9,4.8,6.3,6.8,11.6,12.2,13.9,6.5,6.5,11.4,7.8,3.2
ZCTA5 00927,95.7,3.0,0.3,0.0,1.0,0.0,0.0,0.0,47.6,52.4,3.9,4.4,4.4,7.0,7.5,10.6,12.2,13.8,7.2,5.9,11.9,6.7,4.3
ZCTA5 00934,33.0,47.7,19.3,0.0,0.0,0.0,0.0,0.0,64.2,35.8,0.0,0.0,22.0,19.3,0.0,22.9,9.2,26.6,0.0,0.0,0.0,0.0,0.0
ZCTA5 00936,96.1,3.9,0.0,0.0,0.0,0.0,0.0,0.0,28.8,71.2,0.0,0.0,0.0,0.0,11.8,4.9,15.1,1.8,13.7,3.8,6.3,22.9,19.7
ZCTA5 00949,98.6,1.2,0.1,0.0,0.0,0.0,0.1,0.0,47.1,52.9,4.4,5.3,5.7,6.9,6.9,13.2,13.4,12.8,6.7,5.8,10.6,6.0,2.2
ZCTA5 00950,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 00951,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 00952,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,55.8,4.0,4.6,6.3,5.6,6.2,13.4,9.8,15.0,6.2,8.4,12.2,5.3,3.0
ZCTA5 00953,98.5,0.9,0.1,0.0,0.4,0.0,0.0,0.0,48.0,52.0,4.2,5.6,7.0,7.5,7.4,13.1,14.3,14.7,6.8,5.9,8.0,3.5,1.9
ZCTA5 00956,99.0,0.6,0.1,0.0,0.0,0.0,0.0,0.2,46.8,53.2,4.5,5.1,5.2,6.0,6.5,14.0,11.7,11.6,6.9,6.4,11.0,7.9,3.0
ZCTA5 00957,99.0,0.4,0.1,0.0,0.2,0.0,0.2,0.1,45.3,54.7,4.7,5.4,5.3,6.4,7.2,14.3,10.6,13.5,5.6,5.6,10.9,8.6,2.1
ZCTA5 00959,98.6,1.3,0.1,0.0,0.0,0.0,0.0,0.0,45.8,54.2,4.0,5.9,5.9,6.5,7.3,12.9,11.7,13.6,6.6,5.7,10.0,6.3,3.5
ZCTA5 00960,98.1,0.5,0.7,0.0,0.0,0.0,0.0,0.7,97.2,2.8,0.5,0.0,0.0,2.5,15.5,36.2,25.1,11.6,2.2,1.9,2.6,1.2,0.6
ZCTA5 00961,99.3,0.2,0.2,0.0,0.2,0.0,0.0,0.0,48.2,51.8,3.5,4.0,4.3,7.1,7.3,12.3,12.5,12.1,8.2,7.2,10.7,7.7,3.0
ZCTA5 00962,98.8,1.1,0.0,0.0,0.0,0.0,0.0,0.1,47.1,52.9,4.5,7.6,6.1,6.9,7.1,13.8,11.7,11.5,7.1,6.1,9.6,5.7,2.3
ZCTA5 00965,99.6,0.1,0.3,0.0,0.0,0.0,0.0,0.0,48.2,51.8,5.2,5.2,2.3,5.9,5.8,11.3,7.9,15.1,8.1,8.3,13.4,7.7,3.7
ZCTA5 00966,98.9,1.0,0.0,0.0,0.1,0.0,0.0,0.0,48.2,51.8,4.1,3.3,5.0,5.9,5.8,12.5,10.6,14.4,6.3,7.4,13.4,8.3,3.0
ZCTA5 00968,98.7,0.9,0.0,0.0,0.0,0.0,0.4,0.0,42.1,57.9,3.3,4.3,2.6,1.7,0.0,9.9,12.6,10.6,12.6,9.0,20.0,7.5,6.1
ZCTA5 00969,97.6,2.0,0.2,0.0,0.0,0.0,0.0,0.2,44.5,55.5,3.8,5.3,6.1,5.6,7.3,13.1,12.9,13.0,6.5,6.6,9.9,6.5,3.5
ZCTA5 00971,99.6,0.2,0.0,0.0,0.0,0.0,0.0,0.1,50.3,49.7,3.9,4.7,4.2,6.1,6.2,12.3,14.1,13.4,6.6,7.7,10.7,7.4,2.6
