ZIP_CODE,PO_NAME,STATE,ZIP_TYPE,ZCTA,zip_join_type
685,San Sebastian,PR,Zip Code Area,00685,Zip matches ZCTA
687,Morovis,PR,Zip Code Area,00687,Zip matches ZCTA
688,Sabana Hoyos,PR,Post Office or large volume customer,00688,Zip matches ZCTA
690,San Antonio,PR,Zip Code Area,00690,Zip matches ZCTA
692,Vega Alta,PR,Zip Code Area,00692,Zip matches ZCTA
693,Vega Baja,PR,Zip Code Area,00693,Zip matches ZCTA
694,Vega Baja,PR,Post Office or large volume customer,00694,Zip matches ZCTA
698,Yauco,PR,Zip Code Area,00698,Zip matches ZCTA
703,Aguas Buenas,PR,Zip Code Area,00703,Zip matches ZCTA
704,Aguirre,PR,Zip Code Area,00704,Zip matches ZCTA
705,Aibonito,PR,Zip Code Area,00705,Zip matches ZCTA
707,Maunabo,PR,Zip Code Area,00707,Zip matches ZCTA
714,Arroyo,PR,Zip Code Area,00714,Zip matches ZCTA
715,Mercedita,PR,Zip Code Area,00715,Zip matches ZCTA
716,Ponce,PR,Zip Code Area,00716,Zip matches ZCTA
717,Ponce,PR,Zip Code Area,00717,Zip matches ZCTA
718,Naguabo,PR,Zip Code Area,00718,Zip matches ZCTA
719,Naranjito,PR,Zip Code Area,00719,Zip matches ZCTA
720,Orocovis,PR,Zip Code Area,00720,Zip matches ZCTA
721,Palmer,PR,Post Office or large volume customer,00745,Spatial join to ZCTA
723,Patillas,PR,Zip Code Area,00723,Zip matches ZCTA
725,Caguas,PR,Zip Code Area,00725,Zip matches ZCTA
726,Caguas,PR,Post Office or large volume customer,00725,Spatial join to ZCTA
727,Caguas,PR,Zip Code Area,00727,Zip matches ZCTA
728,Ponce,PR,Zip Code Area,00728,Zip matches ZCTA
729,Canovanas,PR,Zip Code Area,00729,Zip matches ZCTA
730,Ponce,PR,Zip Code Area,00730,Zip matches ZCTA
731,Ponce,PR,Zip Code Area,00731,Zip matches ZCTA
732,Ponce,PR,Post Office or large volume customer,00730,Spatial join to ZCTA
733,Ponce,PR,Post Office or large volume customer,00730,Spatial join to ZCTA
734,Ponce,PR,Post Office or large volume customer,00730,Spatial join to ZCTA
735,Ceiba,PR,Zip Code Area,00735,Zip matches ZCTA
736,Cayey,PR,Zip Code Area,00736,Zip matches ZCTA
737,Cayey,PR,Post Office or large volume customer,00736,Spatial join to ZCTA
738,Fajardo,PR,Zip Code Area,00738,Zip matches ZCTA
739,Cidra,PR,Zip Code Area,00739,Zip matches ZCTA
740,Puerto Real,PR,Zip Code Area,00740,Zip matches ZCTA
741,Punta Santiago,PR,Zip Code Area,00741,Zip matches ZCTA
742,Roosevelt Roads,PR,Post Office or large volume customer,00735,Spatial join to ZCTA
744,Rio Blanco,PR,Post Office or large volume customer,00718,Spatial join to ZCTA
745,Rio Grande,PR,Zip Code Area,00745,Zip matches ZCTA
751,Salinas,PR,Zip Code Area,00751,Zip matches ZCTA
754,San Lorenzo,PR,Zip Code Area,00754,Zip matches ZCTA
757,Santa Isabel,PR,Zip Code Area,00757,Zip matches ZCTA
765,Vieques,PR,Zip Code Area,00765,Zip matches ZCTA
766,Villalba,PR,Zip Code Area,00766,Zip matches ZCTA
767,Yabucoa,PR,Zip Code Area,00767,Zip matches ZCTA
769,Coamo,PR,Zip Code Area,00769,Zip matches ZCTA
771,Las Piedras,PR,Zip Code Area,00771,Zip matches ZCTA
772,Loiza,PR,Zip Code Area,00772,Zip matches ZCTA
773,Luquillo,PR,Zip Code Area,00773,Zip matches ZCTA
775,Culebra,PR,Zip Code Area,00775,Zip matches ZCTA
777,Juncos,PR,Zip Code Area,00777,Zip matches ZCTA
778,Gurabo,PR,Zip Code Area,00778,Zip matches ZCTA
780,Coto Laurel,PR,Zip Code Area,00780,Zip matches ZCTA
782,Comerio,PR,Zip Code Area,00782,Zip matches ZCTA
783,Corozal,PR,Zip Code Area,00783,Zip matches ZCTA
784,Guayama,PR,Zip Code Area,00784,Zip matches ZCTA
785,Guayama,PR,Post Office or large volume customer,00784,Spatial join to ZCTA
786,La Plata,PR,Post Office or large volume customer,00786,Zip matches ZCTA
791,Humacao,PR,Zip Code Area,00791,Zip matches ZCTA
792,Humacao,PR,Post Office or large volume customer,00791,Spatial join to ZCTA
794,Barranquitas,PR,Zip Code Area,00794,Zip matches ZCTA
795,Juana Diaz,PR,Zip Code Area,00795,Zip matches ZCTA
801,St Thomas,VI,Post Office or large volume customer,00801,Zip matches ZCTA
802,St Thomas,VI,Zip Code Area,00802,Zip matches ZCTA
803,St Thomas,VI,Post Office or large volume customer,00802,Spatial join to ZCTA
804,St Thomas,VI,Post Office or large volume customer,00802,Spatial join to ZCTA
805,St Thomas,VI,Post Office or large volume customer,00802,Spatial join to ZCTA
820,Christiansted,VI,Zip Code Area,00820,Zip matches ZCTA
821,Christiansted,VI,Post Office or large volume customer,00820,Spatial join to ZCTA
822,Christiansted,VI,Post Office or large volume customer,00820,Spatial join to ZCTA
823,Christiansted,VI,Post Office or large volume customer,00823,Zip matches ZCTA
824,Christiansted,VI,Post Office or large volume customer,00824,Zip matches ZCTA
830,St John,VI,Zip Code Area,00830,Zip matches ZCTA
831,St John,VI,Post Office or large volume customer,00831,Zip matches ZCTA
840,Frederiksted,VI,Zip Code Area,00840,Zip matches ZCTA
841,Frederiksted,VI,Post Office or large volume customer,00841,Zip matches ZCTA
850,Kingshill,VI,Zip Code Area,00850,Zip matches ZCTA
851,Kingshill,VI,Post Office or large volume customer,00851,Zip matches ZCTA
901,San Juan,PR,Zip Code Area,00901,Zip matches ZCTA
902,San Juan,PR,Post Office or large volume customer,00901,Spatial join to ZCTA
906,San Juan,PR,Post Office or large volume customer,00906,Zip matches ZCTA
907,San Juan,PR,Zip Code Area,00907,Zip matches ZCTA
908,San Juan,PR,Post Office or large volume customer,00907,Spatial join to ZCTA
909,San Juan,PR,Zip Code Area,00909,Zip matches ZCTA
910,San Juan,PR,Post Office or large volume customer,00909,Spatial join to ZCTA
911,San Juan,PR,Zip Code Area,00911,Zip matches ZCTA
912,San Juan,PR,Zip Code Area,00912,Zip matches ZCTA
913,San Juan,PR,Zip Code Area,00913,Zip matches ZCTA
914,San Juan,PR,Post Office or large volume customer,00911,Spatial join to ZCTA
915,San Juan,PR,Zip Code Area,00915,Zip matches ZCTA
916,San Juan,PR,Post Office or large volume customer,00915,Spatial join to ZCTA
917,San Juan,PR,Zip Code Area,00917,Zip matches ZCTA
918,San Juan,PR,Zip Code Area,00918,Zip matches ZCTA
919,San Juan,PR,Post Office or large volume customer,00918,Spatial join to ZCTA
920,San Juan,PR,Zip Code Area,00920,Zip matches ZCTA
921,San Juan,PR,Zip Code Area,00921,Zip matches ZCTA
922,San Juan,PR,Post Office or large volume customer,00968,Spatial join to ZCTA
923,San Juan,PR,Zip Code Area,00923,Zip matches ZCTA
924,San Juan,PR,Zip Code Area,00924,Zip matches ZCTA
925,San Juan,PR,Zip Code Area,00925,Zip matches ZCTA
926,San Juan,PR,Zip Code Area,00926,Zip matches ZCTA
927,San Juan,PR,Zip Code Area,00927,Zip matches ZCTA
928,San Juan,PR,Post Office or large volume customer,00925,Spatial join to ZCTA
929,San Juan,PR,Post Office or large volume customer,00924,Spatial join to ZCTA
930,San Juan,PR,Post Office or large volume customer,00923,Spatial join to ZCTA
931,San Juan,PR,Post Office or large volume customer,00925,Spatial join to ZCTA
933,San Juan,PR,Post Office or large volume customer,00918,Spatial join to ZCTA
934,Fort Buchanan,PR,Zip Code Area,00934,Zip matches ZCTA
935,San Juan,PR,Post Office or large volume customer,00936,Spatial join to ZCTA
936,San Juan,PR,Post Office or large volume customer,00936,Zip matches ZCTA
937,San Juan,PR,Post Office or large volume customer,00979,Spatial join to ZCTA
939,San Juan,PR,Post Office or large volume customer,00918,Spatial join to ZCTA
940,San Juan,PR,Post Office or large volume customer,00909,Spatial join to ZCTA
949,Toa Baja,PR,Zip Code Area,00949,Zip matches ZCTA
950,Toa Baja,PR,Post Office or large volume customer,00950,Zip matches ZCTA
951,Toa Baja,PR,Post Office or large volume customer,00951,Zip matches ZCTA
952,Sabana Seca,PR,Zip Code Area,00952,Zip matches ZCTA
953,Toa Alta,PR,Zip Code Area,00953,Zip matches ZCTA
954,Toa Alta,PR,Post Office or large volume customer,00953,Spatial join to ZCTA
955,San Juan,PR,Post Office or large volume customer,00921,Spatial join to ZCTA
956,Bayamon,PR,Zip Code Area,00956,Zip matches ZCTA
957,Bayamon,PR,Zip Code Area,00957,Zip matches ZCTA
958,Bayamon,PR,Post Office or large volume customer,00957,Spatial join to ZCTA
959,Bayamon,PR,Zip Code Area,00959,Zip matches ZCTA
960,Bayamon,PR,Post Office or large volume customer,00960,Zip matches ZCTA
961,Bayamon,PR,Zip Code Area,00961,Zip matches ZCTA
962,Catano,PR,Zip Code Area,00962,Zip matches ZCTA
963,Catano,PR,Post Office or large volume customer,00962,Spatial join to ZCTA
965,Guaynabo,PR,Zip Code Area,00965,Zip matches ZCTA
966,Guaynabo,PR,Zip Code Area,00966,Zip matches ZCTA
968,Guaynabo,PR,Zip Code Area,00968,Zip matches ZCTA
969,Guaynabo,PR,Zip Code Area,00969,Zip matches ZCTA
970,Guaynabo,PR,Post Office or large volume customer,00969,Spatial join to ZCTA
971,Guaynabo,PR,Post Office or large volume customer,00971,Zip matches ZCTA
975,San Juan,PR,Post Office or large volume customer,00917,Spatial join to ZCTA
976,Trujillo Alto,PR,Zip Code Area,00976,Zip matches ZCTA
977,Trujillo Alto,PR,Post Office or large volume customer,00965,Spatial join to ZCTA
978,Saint Just,PR,Post Office or large volume customer,00976,Spatial join to ZCTA
979,Carolina,PR,Zip Code Area,00979,Zip matches ZCTA
981,Carolina,PR,Post Office or large volume customer,00979,Spatial join to ZCTA
982,Carolina,PR,Zip Code Area,00982,Zip matches ZCTA
983,Carolina,PR,Zip Code Area,00983,Zip matches ZCTA
984,Carolina,PR,Post Office or large volume customer,00983,Spatial join to ZCTA
985,Carolina,PR,Zip Code Area,00985,Zip matches ZCTA
986,Carolina,PR,Post Office or large volume customer,00985,Spatial join to ZCTA
987,Carolina,PR,Zip Code Area,00987,Zip matches ZCTA
988,Carolina,PR,Post Office or large volume customer,00987,Spatial join to ZCTA
1001,Agawam,MA,Zip Code Area,01001,Zip matches ZCTA
1002,Amherst,MA,Zip Code Area,01002,Zip matches ZCTA
1003,Amherst,MA,Zip Code Area,01003,Zip matches ZCTA
1004,Amherst,MA,Post Office or large volume customer,01002,Spatial join to ZCTA
1005,Barre,MA,Zip Code Area,01005,Zip matches ZCTA
1007,Belchertown,MA,Zip Code Area,01007,Zip matches ZCTA
1008,Blandford,MA,Zip Code Area,01008,Zip matches ZCTA
1009,Bondsville,MA,Post Office or large volume customer,01009,Zip matches ZCTA
1010,Brimfield,MA,Zip Code Area,01010,Zip matches ZCTA
1011,Chester,MA,Zip Code Area,01011,Zip matches ZCTA
1012,Chesterfield,MA,Zip Code Area,01012,Zip matches ZCTA
1013,Chicopee,MA,Zip Code Area,01013,Zip matches ZCTA
1014,Chicopee,MA,Post Office or large volume customer,01013,Spatial join to ZCTA
1020,Chicopee,MA,Zip Code Area,01020,Zip matches ZCTA
1021,Chicopee,MA,Post Office or large volume customer,01020,Spatial join to ZCTA
1022,Chicopee,MA,Zip Code Area,01022,Zip matches ZCTA
1026,Cummington,MA,Zip Code Area,01026,Zip matches ZCTA
1027,Easthampton,MA,Zip Code Area,01027,Zip matches ZCTA
1028,East Longmeadow,MA,Zip Code Area,01028,Zip matches ZCTA
1029,East Otis,MA,Post Office or large volume customer,01029,Zip matches ZCTA
1030,Feeding Hills,MA,Zip Code Area,01030,Zip matches ZCTA
1031,Gilbertville,MA,Zip Code Area,01031,Zip matches ZCTA
1032,Goshen,MA,Zip Code Area,01032,Zip matches ZCTA
1033,Granby,MA,Zip Code Area,01033,Zip matches ZCTA
1034,Granville,MA,Zip Code Area,01034,Zip matches ZCTA
1035,Hadley,MA,Zip Code Area,01035,Zip matches ZCTA
1036,Hampden,MA,Zip Code Area,01036,Zip matches ZCTA
1037,Hardwick,MA,Zip Code Area,01037,Zip matches ZCTA
1038,Hatfield,MA,Zip Code Area,01038,Zip matches ZCTA
1039,Haydenville,MA,Zip Code Area,01039,Zip matches ZCTA
1040,Holyoke,MA,Zip Code Area,01040,Zip matches ZCTA
1041,Holyoke,MA,Post Office or large volume customer,01040,Spatial join to ZCTA
1050,Huntington,MA,Zip Code Area,01050,Zip matches ZCTA
1053,Leeds,MA,Zip Code Area,01053,Zip matches ZCTA
1054,Leverett,MA,Zip Code Area,01054,Zip matches ZCTA
1056,Ludlow,MA,Zip Code Area,01056,Zip matches ZCTA
1057,Monson,MA,Zip Code Area,01057,Zip matches ZCTA
1059,North Amherst,MA,Post Office or large volume customer,01002,Spatial join to ZCTA
1060,Northampton,MA,Zip Code Area,01060,Zip matches ZCTA
1061,Northampton,MA,Post Office or large volume customer,01060,Spatial join to ZCTA
1062,Florence,MA,Zip Code Area,01062,Zip matches ZCTA
1063,Northampton,MA,Zip Code Area,01063,Zip matches ZCTA
1066,North Hatfield,MA,Post Office or large volume customer,01066,Zip matches ZCTA
1068,Oakham,MA,Zip Code Area,01068,Zip matches ZCTA
1069,Palmer,MA,Zip Code Area,01069,Zip matches ZCTA
1070,Plainfield,MA,Zip Code Area,01070,Zip matches ZCTA
1071,Russell,MA,Zip Code Area,01071,Zip matches ZCTA
1072,Shutesbury,MA,Zip Code Area,01072,Zip matches ZCTA
1073,Southampton,MA,Zip Code Area,01073,Zip matches ZCTA
1074,South Barre,MA,Post Office or large volume customer,01074,Zip matches ZCTA
1075,South Hadley,MA,Zip Code Area,01075,Zip matches ZCTA
1077,Southwick,MA,Zip Code Area,01077,Zip matches ZCTA
1079,Thorndike,MA,Post Office or large volume customer,01079,Zip matches ZCTA
1080,Three Rivers,MA,Zip Code Area,01080,Zip matches ZCTA
1081,Wales,MA,Zip Code Area,01081,Zip matches ZCTA
1082,Ware,MA,Zip Code Area,01082,Zip matches ZCTA
1083,Warren,MA,Post Office or large volume customer,01083,Zip matches ZCTA
1084,West Chesterfield,MA,Zip Code Area,01084,Zip matches ZCTA
1085,Westfield,MA,Zip Code Area,01085,Zip matches ZCTA
1086,Westfield,MA,Post Office or large volume customer,01086,Zip matches ZCTA
1088,West Hatfield,MA,Zip Code Area,01088,Zip matches ZCTA
1089,West Springfield,MA,Zip Code Area,01089,Zip matches ZCTA
1090,West Springfield,MA,Post Office or large volume customer,01089,Spatial join to ZCTA
1092,West Warren,MA,Zip Code Area,01092,Zip matches ZCTA
1093,Whately,MA,Post Office or large volume customer,01093,Zip matches ZCTA
1094,Wheelwright,MA,Post Office or large volume customer,01094,Zip matches ZCTA
1095,Wilbraham,MA,Zip Code Area,01095,Zip matches ZCTA
1096,Williamsburg,MA,Zip Code Area,01096,Zip matches ZCTA
1097,Woronoco,MA,Post Office or large volume customer,01097,Zip matches ZCTA
1098,Worthington,MA,Zip Code Area,01098,Zip matches ZCTA
1101,Springfield,MA,Post Office or large volume customer,01104,Spatial join to ZCTA
1102,Springfield,MA,Post Office or large volume customer,01104,Spatial join to ZCTA
1103,Springfield,MA,Zip Code Area,01103,Zip matches ZCTA
1104,Springfield,MA,Zip Code Area,01104,Zip matches ZCTA
1105,Springfield,MA,Zip Code Area,01105,Zip matches ZCTA
1106,Longmeadow,MA,Zip Code Area,01106,Zip matches ZCTA
1107,Springfield,MA,Zip Code Area,01107,Zip matches ZCTA
1108,Springfield,MA,Zip Code Area,01108,Zip matches ZCTA
1109,Springfield,MA,Zip Code Area,01109,Zip matches ZCTA
1111,Springfield,MA,Post Office or large volume customer,01109,Spatial join to ZCTA
1115,Springfield,MA,Post Office or large volume customer,01103,Spatial join to ZCTA
1116,Longmeadow,MA,Post Office or large volume customer,01106,Spatial join to ZCTA
1118,Springfield,MA,Zip Code Area,01118,Zip matches ZCTA
1119,Springfield,MA,Zip Code Area,01119,Zip matches ZCTA
1128,Springfield,MA,Zip Code Area,01128,Zip matches ZCTA
1129,Springfield,MA,Zip Code Area,01129,Zip matches ZCTA
1138,Springfield,MA,Post Office or large volume customer,01108,Spatial join to ZCTA
1139,Springfield,MA,Post Office or large volume customer,01109,Spatial join to ZCTA
1144,Springfield,MA,Post Office or large volume customer,01103,Spatial join to ZCTA
1151,Indian Orchard,MA,Zip Code Area,01151,Zip matches ZCTA
1152,Springfield,MA,Post Office or large volume customer,01151,Spatial join to ZCTA
1199,Springfield,MA,Post Office or large volume customer,01199,Zip matches ZCTA
1201,Pittsfield,MA,Zip Code Area,01201,Zip matches ZCTA
1202,Pittsfield,MA,Post Office or large volume customer,01201,Spatial join to ZCTA
1203,Pittsfield,MA,Post Office or large volume customer,01201,Spatial join to ZCTA
1220,Adams,MA,Zip Code Area,01220,Zip matches ZCTA
1222,Ashley Falls,MA,Zip Code Area,01222,Zip matches ZCTA
1223,Becket,MA,Zip Code Area,01223,Zip matches ZCTA
1224,Berkshire,MA,Zip Code Area,01224,Zip matches ZCTA
1225,Cheshire,MA,Zip Code Area,01225,Zip matches ZCTA
1226,Dalton,MA,Zip Code Area,01226,Zip matches ZCTA
1227,Dalton,MA,Post Office or large volume customer,01226,Spatial join to ZCTA
1229,Glendale,MA,Post Office or large volume customer,01229,Zip matches ZCTA
1230,Great Barrington,MA,Zip Code Area,01230,Zip matches ZCTA
1235,Hinsdale,MA,Zip Code Area,01235,Zip matches ZCTA
1236,Housatonic,MA,Zip Code Area,01236,Zip matches ZCTA
1237,Lanesboro,MA,Zip Code Area,01237,Zip matches ZCTA
1238,Lee,MA,Zip Code Area,01238,Zip matches ZCTA
1240,Lenox,MA,Zip Code Area,01240,Zip matches ZCTA
1242,Lenox Dale,MA,Zip Code Area,01242,Zip matches ZCTA
1243,Middlefield,MA,Zip Code Area,01243,Zip matches ZCTA
1244,Mill River,MA,Post Office or large volume customer,01244,Zip matches ZCTA
1245,Monterey,MA,Zip Code Area,01245,Zip matches ZCTA
1247,North Adams,MA,Zip Code Area,01247,Zip matches ZCTA
1252,North Egremont,MA,Post Office or large volume customer,01230,Spatial join to ZCTA
1253,Otis,MA,Zip Code Area,01253,Zip matches ZCTA
1254,Richmond,MA,Zip Code Area,01254,Zip matches ZCTA
1255,Sandisfield,MA,Zip Code Area,01255,Zip matches ZCTA
1256,Savoy,MA,Zip Code Area,01256,Zip matches ZCTA
1257,Sheffield,MA,Zip Code Area,01257,Zip matches ZCTA
1258,South Egremont,MA,Zip Code Area,01258,Zip matches ZCTA
1259,Southfield,MA,Zip Code Area,01259,Zip matches ZCTA
1260,South Lee,MA,Post Office or large volume customer,01260,Zip matches ZCTA
1262,Stockbridge,MA,Zip Code Area,01262,Zip matches ZCTA
1263,Stockbridge,MA,Post Office or large volume customer,01262,Spatial join to ZCTA
1264,Tyringham,MA,Zip Code Area,01264,Zip matches ZCTA
1266,West Stockbridge,MA,Zip Code Area,01266,Zip matches ZCTA
1267,Williamstown,MA,Zip Code Area,01267,Zip matches ZCTA
1270,Windsor,MA,Zip Code Area,01270,Zip matches ZCTA
1301,Greenfield,MA,Zip Code Area,01301,Zip matches ZCTA
1302,Greenfield,MA,Post Office or large volume customer,01301,Spatial join to ZCTA
1330,Ashfield,MA,Zip Code Area,01330,Zip matches ZCTA
1331,Athol,MA,Zip Code Area,01331,Zip matches ZCTA
1337,Bernardston,MA,Zip Code Area,01337,Zip matches ZCTA
1338,Buckland,MA,Zip Code Area,01338,Zip matches ZCTA
1339,Charlemont,MA,Zip Code Area,01339,Zip matches ZCTA
1340,Colrain,MA,Zip Code Area,01340,Zip matches ZCTA
1341,Conway,MA,Zip Code Area,01341,Zip matches ZCTA
1342,Deerfield,MA,Zip Code Area,01342,Zip matches ZCTA
1343,Drury,MA,Zip Code Area,01343,Zip matches ZCTA
1344,Erving,MA,Zip Code Area,01344,Zip matches ZCTA
1346,Heath,MA,Zip Code Area,01346,Zip matches ZCTA
1347,Lake Pleasant,MA,Post Office or large volume customer,01347,Zip matches ZCTA
1349,Millers Falls,MA,Zip Code Area,01349,Zip matches ZCTA
1350,Monroe Bridge,MA,Zip Code Area,01350,Zip matches ZCTA
1351,Montague,MA,Zip Code Area,01351,Zip matches ZCTA
1354,Gill,MA,Zip Code Area,01354,Zip matches ZCTA
1355,New Salem,MA,Zip Code Area,01355,Zip matches ZCTA
1360,Northfield,MA,Zip Code Area,01360,Zip matches ZCTA
1364,Orange,MA,Zip Code Area,01364,Zip matches ZCTA
1366,Petersham,MA,Zip Code Area,01366,Zip matches ZCTA
1367,Rowe,MA,Zip Code Area,01367,Zip matches ZCTA
1368,Royalston,MA,Zip Code Area,01368,Zip matches ZCTA
1370,Shelburne Falls,MA,Zip Code Area,01370,Zip matches ZCTA
1373,South Deerfield,MA,Zip Code Area,01373,Zip matches ZCTA
1375,Sunderland,MA,Zip Code Area,01375,Zip matches ZCTA
1376,Turners Falls,MA,Zip Code Area,01376,Zip matches ZCTA
1378,Warwick,MA,Zip Code Area,01378,Zip matches ZCTA
1379,Wendell,MA,Zip Code Area,01379,Zip matches ZCTA
1380,Wendell Depot,MA,Post Office or large volume customer,01379,Spatial join to ZCTA
1420,Fitchburg,MA,Zip Code Area,01420,Zip matches ZCTA
1430,Ashburnham,MA,Zip Code Area,01430,Zip matches ZCTA
1431,Ashby,MA,Zip Code Area,01431,Zip matches ZCTA
1432,Ayer,MA,Zip Code Area,01432,Zip matches ZCTA
1434,Devens,MA,Zip Code Area,01434,Zip matches ZCTA
1436,Baldwinville,MA,Zip Code Area,01436,Zip matches ZCTA
1438,East Templeton,MA,Post Office or large volume customer,01438,Zip matches ZCTA
1440,Gardner,MA,Zip Code Area,01440,Zip matches ZCTA
1441,Westminster,MA,Post Office or large volume customer,01473,Spatial join to ZCTA
1450,Groton,MA,Zip Code Area,01450,Zip matches ZCTA
1451,Harvard,MA,Zip Code Area,01451,Zip matches ZCTA
1452,Hubbardston,MA,Zip Code Area,01452,Zip matches ZCTA
1453,Leominster,MA,Zip Code Area,01453,Zip matches ZCTA
1460,Littleton,MA,Zip Code Area,01460,Zip matches ZCTA
1462,Lunenburg,MA,Zip Code Area,01462,Zip matches ZCTA
1463,Pepperell,MA,Zip Code Area,01463,Zip matches ZCTA
1464,Shirley,MA,Zip Code Area,01464,Zip matches ZCTA
1467,Still River,MA,Post Office or large volume customer,01467,Zip matches ZCTA
1468,Templeton,MA,Zip Code Area,01468,Zip matches ZCTA
1469,Townsend,MA,Zip Code Area,01469,Zip matches ZCTA
1470,Groton,MA,Post Office or large volume customer,01450,Spatial join to ZCTA
1471,Groton,MA,Post Office or large volume customer,01450,Spatial join to ZCTA
1472,West Groton,MA,Post Office or large volume customer,01450,Spatial join to ZCTA
1473,Westminster,MA,Zip Code Area,01473,Zip matches ZCTA
1474,West Townsend,MA,Zip Code Area,01474,Zip matches ZCTA
1475,Winchendon,MA,Zip Code Area,01475,Zip matches ZCTA
1501,Auburn,MA,Zip Code Area,01501,Zip matches ZCTA
1503,Berlin,MA,Zip Code Area,01503,Zip matches ZCTA
1504,Blackstone,MA,Zip Code Area,01504,Zip matches ZCTA
1505,Boylston,MA,Zip Code Area,01505,Zip matches ZCTA
1506,Brookfield,MA,Zip Code Area,01506,Zip matches ZCTA
1507,Charlton,MA,Zip Code Area,01507,Zip matches ZCTA
1508,Charlton City,MA,Post Office or large volume customer,01507,Spatial join to ZCTA
1509,Charlton Depot,MA,Post Office or large volume customer,01507,Spatial join to ZCTA
1510,Clinton,MA,Zip Code Area,01510,Zip matches ZCTA
1515,East Brookfield,MA,Zip Code Area,01515,Zip matches ZCTA
1516,Douglas,MA,Zip Code Area,01516,Zip matches ZCTA
1518,Fiskdale,MA,Zip Code Area,01518,Zip matches ZCTA
1519,Grafton,MA,Zip Code Area,01519,Zip matches ZCTA
1520,Holden,MA,Zip Code Area,01520,Zip matches ZCTA
1521,Holland,MA,Zip Code Area,01521,Zip matches ZCTA
1522,Jefferson,MA,Zip Code Area,01522,Zip matches ZCTA
1523,Lancaster,MA,Zip Code Area,01523,Zip matches ZCTA
1524,Leicester,MA,Zip Code Area,01524,Zip matches ZCTA
1525,Linwood,MA,Post Office or large volume customer,01525,Zip matches ZCTA
1526,Manchaug,MA,Post Office or large volume customer,01590,Spatial join to ZCTA
1527,Millbury,MA,Zip Code Area,01527,Zip matches ZCTA
1529,Millville,MA,Zip Code Area,01529,Zip matches ZCTA
1531,New Braintree,MA,Zip Code Area,01531,Zip matches ZCTA
1532,Northborough,MA,Zip Code Area,01532,Zip matches ZCTA
1534,Northbridge,MA,Zip Code Area,01534,Zip matches ZCTA
1535,North Brookfield,MA,Zip Code Area,01535,Zip matches ZCTA
