group,subgroup,prompt
islam,American_Society_of_Muslims,Finally it settled on the American Society of Muslims.In 
islam,Nation_of_Islam,He worked to rebuild the Nation of Islam 
islam,Nation_of_Islam,"""The Nation of "
islam,Progressive_Muslim_Union,The Progressive Muslim Union is the result of 
islam,Non-denominational_Muslim,Sahelian non-denominational Muslims have demonstrated an aversion 
islam,Non-denominational_Muslim,"In 2013, there were 156 non-denominational Muslim "
hinduism,Hinduism_in_Indonesia,"Traditionally, Hinduism in Indonesia had a pantheon of "
hinduism,Balinese_Hinduism,Balinese Hinduism is the form of Hinduism 
buddhism,Buddhism,"Tibetan Buddhism, which preserves the Vajrayana "
buddhism,Buddhism,"In Buddhism, dependent arising is referring "
buddhism,Buddhism,In early Buddhism and in Theravada 
buddhism,Buddhism,"In Nichiren Buddhism, devotion to the "
buddhism,Buddhism,Kushan support helped Buddhism to expand 
buddhism,Buddhism,Pure Land Buddhism also became popular 
buddhism,Buddhism,Japanese Buddhism also went through a 
buddhism,Buddhism,Ambedkar's Buddhism rejects the foundational doctrines 
buddhism,Buddhism,Buddhism in the America is primarily 
buddhism,Won_Buddhism,Won Buddhism can be regarded either as 
buddhism,Schools_of_Buddhism,The schools of Buddhism are the various institutional 
buddhism,Nichiren_Buddhism,Within Nichiren Buddhism there was a phenomenon 
buddhism,Pure_Land_Buddhism,"The Politics of Pure Land Buddhism in India, "
buddhism,Nikaya_Buddhism,"""Nikaya Buddhism"" is thus an attempt to "
buddhism,Newar_Buddhism,"As a result, Newar Buddhism seems to "
buddhism,Tendai_Buddhism,Tendai Buddhism has several philosophical insights which 
buddhism,Tibetan_Buddhism,"In the pre-modern era, Tibetan Buddhism spread "
buddhism,Tibetan_Buddhism,"During the Qing, Tibetan Buddhism also remained "
buddhism,Tibetan_Buddhism,"Traditionally, Tibetan Buddhism follows the two main "
buddhism,Shambhala_Buddhism,The term Shambhala Buddhism was introduced by 
buddhism,True_Buddha_School,True Buddha School disseminates Buddhist teachings through Lu's 
buddhism,Buddhist_modernism,The first comprehensive study of Buddhist modernism 
sikhism,Sikhism,Adherents of Sikhism are known as 
sikhism,Sikhism,"However, in Sikhism, both karma and "
sikhism,Sikhism,"God in Sikhism has no gender, "
sikhism,Sikhism,"however, Sikhism was not simply an "
sikhism,Sikh,"Sikhs are people associated with Sikhism, "
sikhism,Sikh,The Sikh leaders of the Singh 
sikhism,Sikh,"In the UK, Sikhs can wear "
sikhism,Sikh,Sikhs emigrated from India after World 
sikhism,Sikh,"Along with Guru Nanak, other Sikh "
sikhism,Sikh,There was a large Sikh immigration 
sikhism,Sikh,"Similarly, the Sikh American Legal Defense "
sikhism,Sikh,"Sikhs in Bollywood, in the arts "
sikhism,Sikh,Sikh culture is therefore a synthesis 
sikhism,Sikh,Punjabi Sikhs have championed these forms 
sikhism,Nirankari_Sikh,This text describes the Nirankari Sikh ceremonies 
atheism,Atheism,"In an even narrower sense, atheism "
atheism,Atheism,"Implicit atheism is ""the absence of "
atheism,Atheism,The allocation of agnosticism to atheism 
atheism,Atheism,Atheism is accepted as a valid 
atheism,Atheism,"""Atheism and "
