group,subgroup,prompt
left-wing,Christian_left,The Christian left maintains that such a 
left-wing,Christian_left,The Christian left is a broad category 
left-wing,Christian_left,Those in the Christian left who have 
left-wing,Christian_left,Others in the Christian left have not 
left-wing,Evangelical_left,"Typically, members of the evangelical left affirm "
left-wing,Evangelical_left,While members of the evangelical left chiefly 
left-wing,Evangelical_left,While the evangelical left is related to 
left-wing,Evangelical_left,He also explains how the evangelical left 
left-wing,American_Left,The American Left consists of individuals and 
left-wing,American_Left,"However, many elements of the American Left "
left-wing,American_Left,"Broadly, the modern American Left is characterized "
left-wing,American_Left,"A Short History of American Left Movements"",Part "
left-wing,Historical_Far_Left,"The Historical Far Left, originally known as Far "
left-wing,Democratic_Left_Alliance,Democratic Left Alliance is a social-democratic political party 
left-wing,Left_Socialist-Revolutionaries,The Party of Left Socialist-Revolutionaries was a 
left-wing,Left-wing_uprisings_against_the_Bolsheviks,"The left-wing uprisings against the Bolsheviks, known in anarchist literature "
left-wing,Chinese_New_Left,The Chinese New Left is a school of 
left-wing,Chinese_New_Left,"Other members of the Chinese New Left, particularly "
left-wing,Chinese_New_Left,Chinese New Leftists are often criticised by liberal 
left-wing,List_of_left-wing_rebel_groups,This is a list of left-wing rebel groups around the 
right-wing,Centre-right_politics,"Centre-right politics or center-right politics, also referred "
right-wing,Centre-right_politics,Thatcher publicly supported centre-right politics and supported 
right-wing,Right-wing_politics,Right-wing politics holds the view that certain 
right-wing,Far-right_politics,"Far-right politics, also referred to as the "
right-wing,Right_Opposition,"The Right Opposition or Right Tendency, in "
right-wing,Right_Opposition,Right Opposition policies encouraging kulaks and NEPmen 
right-wing,Right_Opposition,"Therefore, the Right Opposition was far more "
right-wing,Right_Opposition,"Nevertheless, the various Right Opposition groups did "
right-wing,Right_Opposition,"Bukharin and the Right Opposition were, in "
right-wing,Right-wing_authoritarianism,Right-wing authoritarianism is an ideological variable studied 
right-wing,Right-wing_authoritarianism,Right-wing authoritarianism is characterized by obedience to 
right-wing,Right-wing_authoritarianism,Right-wing authoritarianism was previously split differently into 
right-wing,Right-wing_dictatorship,A right-wing dictatorship is an authoritarian regime 
right-wing,Right-wing_dictatorship,"Some right-wing dictatorships, like the Nazi Germany, "
right-wing,Right-wing_terrorism,Right-wing terrorism or far-right terrorism is terrorism 
right-wing,Right-wing_terrorism,Modern right-wing terrorism first emerged in North 
right-wing,Right-wing_terrorism,"As of 2020, right-wing terrorism accounted for "
right-wing,Right-wing_terrorism,A 2014 paper argues that right-wing terrorism 
right-wing,Christian_right,The Christian right or the religious right 
right-wing,Christian_right,The Christian right draws additional support from 
right-wing,Christian_right,Although the term Christian right is most 
right-wing,Christian_right,"Since the late 1970s, the Christian right "
right-wing,Christian_right,"Since about 1980, the Christian right has "
right-wing,Christian_right,He also notes that the Christian right 
right-wing,Christian_right,Members of the Christian right are willing 
right-wing,Christian_right,"The birth of the New Christian right, "
right-wing,Christian_right,The political agenda of the Christian right 
right-wing,Christian_right,Some supporters of the Christian right have 
right-wing,Christian_right,"Other ""Christian right organizations supported the teaching "
right-wing,Christian_right,"Some members of the Christian right, especially "
right-wing,Christian_right,"In the United States, the Christian right "
right-wing,Christian_right,Members of the Christian right take the 
right-wing,Christian_right,The Christian right points out that the 
right-wing,Christian_right,The contemporary Christian right supports economic conservative 
right-wing,Christian_right,The Christian right element in the Reagan 
right-wing,Christian_right,The Christian right maintains that the chemical 
right-wing,Christian_right,"In particular, the Christian right opposes therapeutic "
right-wing,Christian_right,The Christian right supports research with adult 
right-wing,Christian_right,"The Christian right also opposes euthanasia, and, "
right-wing,Christian_right,The Christian right proceeded to make sexuality 
right-wing,Christian_right,An important stratagem in Christian right anti-gay 
right-wing,Christian_right,"As a result, the Christian right has "
right-wing,Christian_right,"""Faith and Election: The Christian right in "
right-wing,Christian_right,"Green, John C. ""The Christian Right and "
right-wing,Christian_right,The Old Christian right: The Protestant Far 
right-wing,Christian_right,"Shields, Jon A., ""Framing the Christian Right: "
right-wing,New_Right,New Right is a term for various 
right-wing,New_Right,The politicians favouring New Right ideology were 
right-wing,New_Right,France also has one Identitarian New Right 
right-wing,New_Right,Another noted New Right group in Germany 
right-wing,New_Right,"When Don Brash became leader, New Right "
right-wing,New_Right,"Thatcher's style of New Right ideology, known "
right-wing,New_Right,These American New Rights are distinct from 
right-wing,New_Right,The New Right also differs from the 
right-wing,New_Right,Sociologists and journalists had used new right 
right-wing,New_Right,"First New Right figures:

William F. Buckley, Jr. "
right-wing,New_Right,The second New Right tended to focus 
right-wing,New_Right,The second New Right formed a policy 
right-wing,New_Right,The New Right was organized in the 
right-wing,New_Right,"(1996) New left, new right, and the "
right-wing,New_Right,"(1992) ""The new right in Germany: The "
right-wing,New_Right,The New Right: We're Ready to 
right-wing,Right-wing_populism,"Right-wing populism, also called national populism and "
right-wing,Right-wing_populism,Both right-wing populism and left-wing populism object 
right-wing,Right-wing_populism,Right-wing populism in the Western world is 
right-wing,Right-wing_populism,Right-wing populism in the United States is 
right-wing,Right-wing_populism,This results in right-wing populism having a 
right-wing,Right-wing_populism,Right-wing populism has been fostered by RSS 
right-wing,Historical_Right,"The Right group, later called Historical Right "
right-wing,Historical_Right,"After 1876, the Historical Right constituted the "
right-wing,Far-right_social_centres,Far-right social centres are community spaces inspired by 
right-wing,Far-right_subcultures,"Far-right subcultures refers to the symbolism, ideology "
right-wing,Far-right_terrorism,Right-wing terrorism or far-right terrorism is terrorism 
right-wing,Congress_of_the_New_Right,"The Congress of the New Right is an economically libertarian, "
right-wing,Congress_of_the_New_Right,"The ""Congress of the New Right"" equaled the results of "
right-wing,Congress_of_the_New_Right,"Afterwards, the new party, the Congress of the New Right "
right-wing,Congress_of_the_New_Right,"One month later, ""Congress of the New Right"" was formally "
right-wing,Congress_of_the_New_Right,This move effectively denied the Congress of the New Right 
right-wing,Congress_of_the_New_Right,"""The Congress of the New Right is the latest anti-establishment "
right-wing,Right_realism,"Right realism, in criminology, also known as "
right-wing,Right_realism,"As it stands, Right Realism seems to "
right-wing,Right_realism,Deviance and Social Control: New Right Realism 
communism,Communism,"Communism is a philosophical, social, political, "
communism,Communism,"Along with social democracy, communism became "
communism,Communism,"Communism may be interpreted as ""the "
communism,Communism,"Instead, communism fell out of use "
communism,Communism,"In Christian Europe, communism was believed "
communism,Communism,"In Protestant England, communism was too "
communism,Communism,"The notion that ""socialism"" and ""Communism"" "
communism,Communism,"In his 1895 Cromwell and Communism, "
communism,Communism,Marx predicted that socialism and communism 
communism,Communism,Communism was seen as a rival 
communism,Communism,"In between capitalism and communism, there "
communism,Communism,"According to Marxian crisis theory, communism "
communism,Communism,Council communism continues today as a 
communism,Communism,The core principle of council communism 
communism,Communism,Most anarcho-communists view anarchist communism as 
communism,Communism,"In 1929, anarcho-communism was achieved in "
communism,Communism,Many advocates of Christian communism argue 
communism,Communism,Christian communism can be seen as 
communism,Communism,Christian communism holds that capitalism encourages 
communism,Communism,
communism,Communism,The Rise and Fall of 
communism,Communism,A Documentary History of Communism and 
communism,Communism,The Rise and Fall of Communism 
communism,Communism,Origins of Chinese 
communism,Communism,Communism From Marx's Manifesto To 20th 
communism,Communism,"""The Long-Term Effects of Communism in "
communism,Communism,"Late communism in global perspective, 1968 "
communism,Communism,(The Cambridge History of Communism 
communism,Communism,Red Hangover: Legacies of Twentieth-Century 
communism,Communism,Communism: A 
communism,Communism,A Dictionary of 20th century 
communism,Communism,Communism’s Shadow: Historical Legacies and Contemporary 
communism,Communism,What Is 
communism,Communism,: A History of World 
communism,Communism,The Reality of 
communism,Communism,"""Communism"" "
communism,Communism,"""Communism"" "
communism,Communist_society,"In Marxist thought, communist society or the "
communism,Communist_society,A communist society is characterized by common 
communism,Communist_society,"As a result, a communist society is "
communism,Communist_society,"In a communist society, economic necessity and "
communism,Communist_society,"Communist society is characterized by democratic processes, "
communism,Pre-Marxist_communism,Pre-Marxist communism was also present in the 
communism,Primitive_communism,Primitive communism is a way of describing 
communism,Religious_communism,Religious communism is a form of communism 
communism,Religious_communism,"Additionally, Hillerbrand has contrasted ""religious communism"" with "
communism,Religious_communism,"Larry Arnhart described ""religious communism in the "
communism,Christian_communism,Christian communism is a form of religious 
communism,Christian_communism,"As such, many advocates of Christian communism "
communism,Christian_communism,Both Christian communism and liberation theology stress 
communism,History_of_communism,The history of communism encompasses a wide variety 
communism,History_of_communism,"excerpt
Harvey, Robert, A Short History of Communism, ISBN "
communism,History_of_communism,"The Red Flag: A History of Communism
Sandle, "
communism,History_of_communism,A Documentary History of Communism in Russia: From 
communism,History_of_communism,A Documentary History of Communism: Communism and the 
communism,Left_communism,"Left communism, or the communist left, is "
communism,Left_communism,Proponents of left communism have included Amadeo 
communism,Left_communism,The historical origins of left communism come 
communism,Left_communism,Left communism first came into focus as 
communism,Communist_state,"A communist state, also known as Marxist–Leninist "
communism,Communist_state,"Terms used by communist states include national-democratic, "
communism,Communist_state,Most communist states in Eastern Europe were 
communism,Communist_state,"Communist states were also established in Cambodia, "
communism,Communist_state,A communist state was established in North 
communism,Communist_state,"In 1989, the communist states in Eastern "
communism,Communist_state,"Today, the existing communist states in the "
communism,Communist_state,These communist states often do not claim 
communism,Communist_state,The constitutions of most communist states describe 
communism,Communist_state,A feature of communist states is the 
communism,Communist_state,"In communist states, the social organizations are "
communism,Communist_state,"In communist states, the government may not "
communism,Communist_state,"However, the goal of the communist state "
communism,Communist_state,The communist state is the dictatorship of 
communism,Communist_state,The communist states have opted for two 
communism,Communist_state,A number of the short-lived communist states 
communism,Communist_state,"In addition, all communist states the ruling "
communism,Communist_state,This might explain why communist states have 
communism,Communist_state,Communist states are committed to establish a 
communism,Communist_state,"In communist states, there is usually a "
communism,Communist_state,A constitution in a communist state has 
communism,Communist_state,None of the surviving communist states have 
communism,Communist_state,Communist states have also been criticized for 
communism,Barracks_communism,Barracks communism is the term coined by 
communism,Scientific_communism,Scientific communism was one of the three 
communism,Scientific_communism,"(1985)
Scientific "
communism,National_communism,National communism refers to the various forms 
communism,National_communism,Whereas the influence of international communism was 
communism,National_communism,National communism also refers to non-Russian communist 
communism,War_communism,War communism or military communism was the 
communism,War_communism,"War communism began in June 1918, enforced "
communism,War_communism,The Economic Organization of War Communism 1918—1921 
communism,War_communism,"Roberts, Paul C. ""'War Communism': A Re-examination,"" "
communism,Libertarian_communism,The Manifesto of Libertarian Communism was written 
communism,Libertarian_communism,"Manifesto of Libertarian Communism
Luigi "
communism,Libertarian_communism,"Anarchist-Communism
Isaac Puente Libertarian Communism
Ilan "
communism,Council_communism,Council communism is a current of communist 
communism,Council_communism,"Inspired by the November Revolution, council communism "
communism,Council_communism,"According to van der Linden, council communism "
communism,Council_communism,"By the early 1930s, council communism as "
communism,Council_communism,"According to John Gerber, council communism was "
communism,Council_communism,He also attributes council communism's decline as 
communism,Council_communism,"""The Birth of Council "
communism,Council_communism,"""Council "
communism,Council_communism,"""On Council "
communism,Council_communism,"""The Frankfurt School and Council "
communism,Council_communism,"""From Left Radicalism to Council Communism: Anton "
communism,Council_communism,"""Anarchism and Council Communism: On the Russian "
communism,Council_communism,"""After council communism: the post-war rediscovery of "
communism,Council_communism,Marxism and Council Communism: The Foundation for 
communism,Nihilist_communism,Nihilist Communism: A Critique of Optimism — 
communism,World_communism,World communism is a form of communism 
communism,World_communism,The long-term goal of world communism is 
communism,World_communism,Such theory may treat world communism as 
communism,World_communism,World communism is to be achieved by 
communism,World_communism,World communism is incompatible with the existence 
communism,Communism_in_Quebec,Communism in Quebec is a social and political 
communism,Communism_in_Colombia,The history of communism in Colombia goes back 
communism,Communism_in_Kerala,Communism in Kerala refers to the strong presence 
communism,Communism_in_Sumatra,Communism in Sumatra has historically had an influence 
communism,Communism_in_the_Philippines,Communism in the Philippines emerged in the first half 
communism,Communism_in_Vietnam,Communism in Vietnam has played a large role 
communism,National_Communism_in_Romania,National Communism in Romania was the state ideology of 
communism,Communism_in_India,Communism in India has existed as a political 
communism,Communism_in_Nepal,Communism in Nepal traces its roots back to 
communism,Communism_in_Poland,Communism in Poland can trace its origins to 
communism,Anarchist_communism,"Anarcho-communism, also referred to as anarchist communism, "
communism,Anarchist_communism,"In this sense, anarchist communism is a "
communism,Anarchist_communism,Anarchist communism as an anarchist philosophy is 
communism,Anarchist_communism,"""An important difference between anarchist communism and "
communism,Anarchist_communism,Errico Malatesta A Talk About Anarchist Communism 
communism,Anarchist_communism,"""Anarchist Communism""
Alain "
socialism,Socialism,"Socialism is a political, social, and "
socialism,Socialism,Non-market socialism substitutes factor markets and 
socialism,Socialism,"By contrast, market socialism retains the "
socialism,Socialism,While retaining socialism as a long-term 
socialism,Socialism,Socialism was coined by Henri de 
socialism,Socialism,They presented socialism as an alternative 
socialism,Socialism,Socialism is also attributed in France 
socialism,Socialism,"By 1888, Marxists employed socialism in "
socialism,Socialism,The distinction between communism and socialism 
socialism,Socialism,"The notion that ""socialism"" and ""Communism"" "
socialism,Socialism,This branch of socialism produced the 
socialism,Socialism,Christian socialism was one of the 
socialism,Socialism,"Other currents inspired Christian socialism ""often "
socialism,Socialism,Owen's contribution to modern socialism was 
socialism,Socialism,Guild socialism is a political movement 
socialism,Socialism,Revolutionary socialism encompasses multiple social and 
socialism,Socialism,He then moved towards democratic socialism 
socialism,Socialism,"In the 1950s, popular socialism emerged "
socialism,Socialism,"Embracing Third World socialism, countries in "
socialism,Socialism,Fela Kuti was inspired by socialism 
socialism,Socialism,"However, socialism saw a resurgence in "
socialism,Socialism,"In New Zealand, socialism emerged within "
socialism,Socialism,The fundamental objective of socialism is 
socialism,Socialism,"In particular, socialism holds that social "
socialism,Socialism,The Marxist conception of socialism is 
socialism,Socialism,The major characteristics of socialism are 
socialism,Socialism,"For orthodox Marxists, socialism is the "
socialism,Socialism,Variations of market socialism include libertarian 
socialism,Socialism,State socialism is unfeasible in this 
socialism,Socialism,Guild socialism is a political movement 
socialism,Socialism,"In state-oriented forms of market socialism, "
socialism,Socialism,There are many variations of socialism 
socialism,Socialism,"In his Dictionary of Socialism, Angelo "
socialism,Socialism,"In The Concepts of Socialism, Bhikhu "
socialism,Socialism,"Mutualists advocate market socialism, collectivist anarchists "
socialism,Socialism,Democratic socialism is difficult to define 
socialism,Socialism,Libertarian socialism asserts that a society 
socialism,Socialism,Islamic socialism is a more spiritual 
socialism,Socialism,The first variant advances democratic socialism 
socialism,Socialism,Liberal socialism lays legalistic and artificial 
socialism,Socialism,Liberal socialism has been particularly prominent 
socialism,Socialism,"August Bebel's Woman under Socialism, is "
socialism,Socialism,It rejects state socialism and the 
socialism,Socialism,"Because of socialism's many varieties, most "
socialism,Socialism,Historical Dictionary of 
socialism,Socialism,Cuban Socialism from the Dean Peter 
socialism,Socialism,"""Socialism"" "
socialism,Socialism,"""Socialism"" "
socialism,Socialist_state,"A socialist state, socialist republic, or socialist "
socialism,Socialist_state,"However, the concept of a socialist state "
socialism,Socialist_state,The concept of a socialist state is 
socialism,Socialist_state,Socialist states in the Marxist–Leninist sense are 
socialism,Socialist_state,The Leninist definition of a socialist state 
socialism,Socialist_state,"Ostensibly socialist states where democracy is lacking, "
socialism,Socialist_state,They reason that a socialist state is 
socialism,Libertarian_socialism,"Libertarian socialism, also referred to as anarcho-socialism, "
socialism,Libertarian_socialism,Libertarian socialism tends to deny the legitimacy 
socialism,Libertarian_socialism,"According to Hahnel, ""libertarian socialism was as "
socialism,Libertarian_socialism,Libertarian socialism aims to distribute power more 
socialism,Libertarian_socialism,Libertarian socialism and right-libertarian ideologies such as 
socialism,Libertarian_socialism,"Contrary to popular opinion, libertarian socialism has "
socialism,Libertarian_socialism,Peter Hain interprets libertarian socialism as minarchist 
socialism,Libertarian_socialism,While libertarian socialism has roots in both 
socialism,Libertarian_socialism,Libertarian socialism has frequently linked its anti-authoritarian 
socialism,Libertarian_socialism,"Defined in this way, libertarian socialism in "
socialism,Libertarian_socialism,Libertarian socialism has also more recently played 
socialism,Christian_socialism,Christian socialism is a religious and political 
socialism,Christian_socialism,"It expressed a Christian socialism, more or "
socialism,Utopian_socialism,Utopian socialism is the first current of 
socialism,Utopian_socialism,Utopian socialism is often described as the 
socialism,Utopian_socialism,Later socialists and critics of utopian socialism 
socialism,Authoritarian_socialism,"Authoritarian socialism, or socialism from above, is "
socialism,Authoritarian_socialism,Although authoritarian socialism was by no means 
socialism,Authoritarian_socialism,"""Immanent Critique and Authoritarian "
socialism,Authoritarian_socialism,"""Strategies of structural reform of authoritarian socialism: "
socialism,State_socialism,State socialism is a political and economic 
socialism,State_socialism,"By contrast, proponents of state socialism claim "
socialism,State_socialism,"Today, state socialism is mainly advocated by "
socialism,State_socialism,Political philosophies contrasted to state socialism include 
socialism,State_socialism,"On the other hand, state socialism became "
socialism,State_socialism,Tucker's two socialisms were the state socialism 
socialism,State_socialism,They use the term state socialism to 
socialism,State_socialism,This leads them to consider state socialism 
socialism,State_socialism,One criticism especially related to state socialism 
socialism,Real_socialism,Real socialism was an ideological catchphrase popularized 
socialism,Real_socialism,The concept of real socialism alluded to 
socialism,Real_socialism,"The term ""real socialism"" was introduced to "
socialism,Real_socialism,"The ""reality"" of ""real socialism"" was used "
socialism,Real_socialism,"""What is real "
socialism,Socialism_with_a_human_face,Socialism with a human face was a political programme announced 
socialism,Third_World_socialism,Third World socialism is a political philosophy and 
socialism,Third_World_socialism,Third World socialism is made up of African 
socialism,Socialism_with_Chinese_characteristics,The theoretical system of socialism with Chinese characteristics is 
socialism,Socialism_with_Chinese_characteristics,"In the party's official narrative, socialism with Chinese characteristics "
socialism,Socialism_in_one_country,Socialism in one country (Russian: социали́зм в отде́льно взя́той 
socialism,Socialism_in_one_country,and the Soviet Union adopted socialism in one country 
socialism,Socialism_in_one_country,The exponents of socialism in one country contend that 
socialism,Socialism_in_one_country,"""Socialism in One Country, "
socialism,Socialism_in_one_country,"""Socialism in one "
socialism,Socialism_in_one_country,The Reactionary Theory of Socialism in One 
socialism,Socialism_in_one_country,"""Socialism in one country: a "
socialism,Socialism_in_one_country,"""Lenin's Conception of Socialism in One Country, "
socialism,Socialist_patriotism,Socialist patriotism is a form of patriotism 
socialism,Socialist_patriotism,Socialist patriotism promotes people living within Marxist-Leninist 
socialism,Socialist_patriotism,Marxist-Leninists claim that socialist patriotism is not 
socialism,Socialist_patriotism,Socialist patriotism is commonly advocated directly alongside 
socialism,Socialist_patriotism,Socialist patriotism would supposed serve both national 
socialism,Socialist_patriotism,While promoting socialist patriotism for the Soviet 
socialism,Socialist_patriotism,However the GDR claimed that socialist patriotism 
socialism,Socialist_patriotism,"The Derg declared that ""socialist patriotism"" meant "
socialism,Socialist_patriotism,"In North Korea, socialist patriotism has been "
socialism,History_of_socialism,The history of socialism has its origins in 
socialism,Conservative_socialism,Metternich's conservative socialism saw liberalism and nationalism 
socialism,Conservative_socialism,"In the 1880s, Rodbertus' conservative socialism was "
socialism,Tory_socialism,Tory socialism was a term used by 
socialism,Prussian_socialism,His notions of Prussian socialism influenced Nazism 
socialism,Prussian_socialism,"Landa describes Spengler's ""Prussian Socialism"" as ""working "
socialism,Guild_socialism,Guild socialism is a political movement advocating 
socialism,Guild_socialism,The theory of guild socialism was developed 
socialism,Guild_socialism,"""Guild Socialism"" "
socialism,Bourgeois_socialism,Bourgeois socialism or conservative socialism was a 
socialism,Yellow_socialism,Yellow socialism was an economic system proposed 
socialism,Yellow_socialism,Yellow socialism was prominent until World War 
socialism,Yellow_socialism,"""Yellow socialism"" was also a Marxist term "
socialism,Yellow_socialism,"He called this ""Yellow socialism"", as a "
socialism,Yellow_socialism,"In the United States, ""Yellow socialism"" was "
socialism,Democratic_socialism,Democratic socialism is a political philosophy supporting 
socialism,Democratic_socialism,Democratic socialism is what most socialists understand 
socialism,Democratic_socialism,"Democratic socialism can include libertarian socialism, market "
socialism,Democratic_socialism,Democratic socialism is also distinguished from Third 
socialism,Democratic_socialism,The main criticism of democratic socialism concerns 
socialism,Democratic_socialism,"In democratic socialism, it is the active "
socialism,Democratic_socialism,"For Draper, revolutionary-democratic socialism is a type "
socialism,Democratic_socialism,"[...]
Today democratic socialism's task is to recover "
socialism,Democratic_socialism,Some tendencies of democratic socialism advocate for 
socialism,Democratic_socialism,"In Soviet politics, democratic socialism is the "
socialism,Democratic_socialism,"While affirming a commitment to democratic socialism, "
socialism,Democratic_socialism,"In political science, democratic socialism and social "
socialism,Democratic_socialism,Democratic socialism originally represented socialism achieved by 
socialism,Democratic_socialism,"Aside from democratic socialism, the latter also "
socialism,Democratic_socialism,Philosophical support for democratic socialism can be 
socialism,Democratic_socialism,"In addition, democratic socialism is related to "
socialism,Democratic_socialism,"Within democratic socialism, social democracy underwent various "
socialism,Democratic_socialism,Democratic socialism also has its origins in 
socialism,Democratic_socialism,"In Germany, democratic socialism became a prominent "
socialism,Democratic_socialism,Democratic socialism continued to flourish in the 
socialism,Democratic_socialism,Democratic socialism has been described as representing 
socialism,Democratic_socialism,Democratic Socialism: A Global 
socialism,Democratic_socialism,Choose Freedom: The Future of Democratic 
socialism,Democratic_socialism,Democratic Socialism in Britain: Classic Texts in 
socialism,Democratic_socialism,Democratic Socialism: A New 
socialism,Democratic_socialism,Democratic Socialism and Economic Policy: The Attlee 
socialism,Democratic_socialism,"""Democratic socialism, explained by a democratic "
socialism,Democratic_socialism,"""What is Democratic "
socialism,Democratic_socialism,"""Democratic Socialism in "
socialism,Austrian_National_Socialism,Austrian National Socialism was a pan-German movement that 
socialism,Liberal_socialism,Liberal socialism is a political philosophy that 
socialism,Liberal_socialism,Liberal socialism has been compared to modern 
socialism,Liberal_socialism,Liberal socialism identifies legalistic and artificial monopolies 
socialism,Liberal_socialism,"To Polanyi, liberal socialism's goal was overcoming "
socialism,Liberal_socialism,She describes liberal socialism as the following: 
socialism,Liberal_socialism,Rosselli's liberal socialism was partly based upon 
socialism,Liberal_socialism,"After Rosselli's death, liberal socialism was developed "
socialism,Liberal_socialism,Liberal Socialism: An Alternative Social Ideal Grounded 
socialism,Socialism_of_the_21st_century,Socialism of the 21st century is an interpretation of socialist 
socialism,Socialism_of_the_21st_century,"Socialism of the 21st century has democratic socialist elements, but "
socialism,Socialism_of_the_21st_century,Socialism of the 21st century draws on indigenous traditions of 
socialism,Agrarian_socialism,Agrarian socialism is a political ideology which 
socialism,Religious_socialism,Religious socialism is any form of socialism 
socialism,Buddhist_socialism,Buddhist socialism is a political ideology which 
socialism,Gandhian_socialism,Gandhian socialism is the branch of socialism 
